member_id,MBR_NAME,party,Subject_Id,Subject_Name,subject_vote_events,eligible_subject_events,party_break_events,cross_party_events,cross_party_pct,party_break_pct
H0389,Nicole Cole,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,597,Children,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,636,Congressional Districts,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,641,Continuing Education,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,721,Firearms,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,968,Professional and Occupational Regulation,2,2,0,0,0.0,0.0
H0389,Nicole Cole,D,990,Reapportionment,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,113,"Commissions, Boards, and Institutions Generally",2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,1142,Wages,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,361,Public Service Companies,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,4,Administration of Government,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,597,Children,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,641,Continuing Education,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,785,Human Rights,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,871,Marriage,2,2,0,0,0.0,0.0
H0390,Mitchell Cornett,R,968,Professional and Occupational Regulation,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,1142,Wages,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,594,Child Care,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,597,Children,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,721,Firearms,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,785,Human Rights,2,2,0,0,0.0,0.0
H0391,Lindsey Dougherty,D,871,Marriage,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,113,"Commissions, Boards, and Institutions Generally",2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,1142,Wages,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,597,Children,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,641,Continuing Education,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,721,Firearms,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,785,Human Rights,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,871,Marriage,2,2,0,0,0.0,0.0
H0392,Mark C. Downey,D,968,Professional and Occupational Regulation,2,2,0,0,0.0,0.0
H0393,Lily V. Franklin,D,1142,Wages,2,2,0,0,0.0,0.0
H0393,Lily V. Franklin,D,14460,Alcoholic Beverage and Cannabis Control,2,2,0,0,0.0,0.0
H0393,Lily V. Franklin,D,27,Arts and Humanities,2,2,0,0,0.0,0.0
H0393,Lily V. Franklin,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0393,Lily V. Franklin,D,4,Administration of Government,2,2,0,0,0.0,0.0
